Share Symbol,Name,Number of transaction,Max Price,Min Price,Closing Price,Difference,Traded Shares,Traded Amount,Previous Closing,Percent Difference,Date
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,68,Rs. 644.0,Rs. 623.0,Rs. 626.0,-9.0,2375,1488592.7,635.0,-1.42,"14 December, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,114,Rs. 637.0,Rs. 599.8,Rs. 625.0,-1.0,8885,5534446.2,626.0,-0.16,"17 December, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,241,Rs. 678.0,Rs. 616.1,Rs. 668.8,43.8,20258,13307630.5,625.0,7.01,"18 December, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,125,Rs. 680.9,Rs. 654.0,Rs. 675.0,6.2,6365,4257065.3,668.8,0.93,"19 December, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,150,Rs. 690.0,Rs. 662.0,Rs. 680.0,5.0,11416,7718444.3,675.0,0.74,"20 December, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,153,Rs. 748.0,Rs. 666.0,Rs. 748.0,68.0,9374,6354170.7,680.0,10.0,"21 December, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,267,Rs. 748.0,Rs. 696.0,Rs. 708.0,-40.0,21036,14948662.2,748.0,-5.35,"24 December, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,137,Rs. 715.0,Rs. 682.1,Rs. 694.0,-14.0,7757,5363013.5,708.0,-1.98,"27 December, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,119,Rs. 702.0,Rs. 681.0,Rs. 697.8,3.8,6245,4296714.7,694.0,0.55,"28 December, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,124,Rs. 711.0,Rs. 686.7,Rs. 694.9,-2.9,5992,4171204.9,697.8,-0.42,"01 January, 2024"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,114,Rs. 694.8,Rs. 675.0,Rs. 685.0,-9.9,6467,4440603.5,694.9,-1.42,"02 January, 2024"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,154,Rs. 703.0,Rs. 672.1,Rs. 703.0,18.0,6270,4340010.2,685.0,2.63,"03 January, 2024"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,88,Rs. 703.0,Rs. 686.0,Rs. 696.0,-7.0,3575,2464592.6,703.0,-1.0,"04 January, 2024"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,121,Rs. 703.8,Rs. 682.2,Rs. 700.0,4.0,6943,4823001.9,696.0,0.57,"07 January, 2024"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,138,Rs. 710.0,Rs. 690.0,Rs. 707.9,7.9,4676,3278068.9,700.0,1.13,"08 January, 2024"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,138,Rs. 734.4,Rs. 716.0,Rs. 726.0,6.0,8648,6256296.1,720.0,0.83,"10 January, 2024"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,94,Rs. 730.0,Rs. 710.2,Rs. 728.6,2.6,3824,2749000.2,726.0,0.36,"11 January, 2024"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,162,Rs. 759.7,Rs. 730.1,Rs. 755.0,26.4,6399,4764822.7,728.6,3.62,"14 January, 2024"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,118,Rs. 784.0,Rs. 756.0,Rs. 776.0,21.0,4383,3382055.5,755.0,2.78,"16 January, 2024"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,152,Rs. 774.0,Rs. 736.9,Rs. 754.0,-22.0,6784,5101880.2,776.0,-2.84,"17 January, 2024"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,129,Rs. 746.0,Rs. 719.1,Rs. 724.4,-29.6,4742,3458463.0,754.0,-3.93,"18 January, 2024"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,140,Rs. 738.0,Rs. 700.0,Rs. 703.0,-21.4,8141,5790085.6,724.4,-2.95,"21 January, 2024"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,209,Rs. 765.0,Rs. 690.0,Rs. 750.0,47.0,7614,5414285.2,703.0,6.69,"22 January, 2024"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,101,Rs. 735.0,Rs. 710.0,Rs. 715.0,-35.0,3769,2698999.6,750.0,-4.67,"23 January, 2024"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,66,Rs. 730.0,Rs. 702.0,Rs. 710.0,-5.0,1225,864918.8,715.0,-0.7,"24 January, 2024"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,108,Rs. 724.0,Rs. 695.0,Rs. 699.0,-11.0,3549,2486582.9,710.0,-1.55,"25 January, 2024"
